item_id:token	title:token	categories:token_seq	brand:token	sales_type:token	sales_rank:float
0700026657	Anno 2070	'Video Games', 'PC', 'Games'	Ubisoft	Video Games	
0700099867	Dirt 3	'Video Games', 'PC', 'Games'	Dirt 3	Video Games	
0804161380	Legend of Zelda Box Set Prima Official Game Guide		DIAMOND SELECT TOYS	Video Games	
6050036071	USB Microphone for RockBand or Guitar Hero (PS3, Wii, Xbox360)	'Video Games', 'Accessories', 'Controllers', 'Music Controllers', 'Microphones'	by        Logitech	Video Games	
9629971372	Dotop Sony Playstation 2 PS2 64MB Memory Card	'Video Games', 'Accessories'	Dotop	Electronics	
9882155456	2 Pack - Gator Crunch Wii Gamecube 6FT Extension Cable / Cord (Lifetime Warranty, Bulk packaging)	'Video Games', 'Wii'	by        Gator Crunch	Video Games	
9882106463	Game Boy Micro AC Wall Charger Micro Power Adapter	'Video Games', 'Game Boy Advance', 'Accessories'	by        GEN	Video Games	
B000006OVJ	Mega Man Legends	'Video Games', 'PlayStation', 'Games'	Capcom	Video Games	
B000006OVE	Breath of Fire III	'Video Games', 'PlayStation', 'Games'	Capcom	Video Games	
B000006P0K	Tekken 2	'Video Games', 'PlayStation', 'Games'	Namco	Video Games	
B000006RGS	Tomb Raider	'Video Games', 'PlayStation'	Unknown	Books	281574.0
B000006RGR	Tomb Raider II	'Video Games', 'PlayStation', 'Games'	by        Square Enix	Video Games	
B00000DMB2	Star Wars: Rogue Squadron	'Video Games', 'Games'	Lucas Arts	Video Games	
B00000DMB6	Twisted Metal III	'Video Games', 'PlayStation', 'Games'	989 Studios	Video Games	
B00000DMAT	GoldenEye 007	'Video Games', 'Games'	Rareware	Video Games	
B00000DMAD	Grim Fandango - PC	'Video Games', 'PC', 'Games'	by        LucasArts	Video Games	
B00000DMB3	The Legend of Zelda: Ocarina of Time	'Video Games', 'Games'	Nintendo	Video Games	
B00000DMAQ	Banjo-Kazooie	'Video Games', 'Games'	Nintendo	Video Games	
B00000DMAX	Mario Kart 64	'Video Games', 'Games'	Nintendo	Video Games	
B00000DMAR	Crash Bandicoot 3: Warped	'Video Games', 'PlayStation', 'Games'	Naughty Dog	Video Games	
B00000DMB9	WCW/NWO Revenge	'Video Games', 'Games'	THQ	Video Games	
B00000F1GM	Super Mario 64	'Video Games', 'Games'	Nintendo	Video Games	
B00000I1BT	Doom	'Video Games', 'PlayStation', 'Games'	Midway	Video Games	
B00000I1BK	MediEvil	'Video Games', 'PlayStation', 'Games', 'Sony'	by        Sony	Video Games	
B00000I1BB	South Park	'Video Games', 'Games'	Acclaim	Video Games	
B00000I1C0	Twisted Metal	'Video Games', 'PlayStation', 'Games'	Sony	Video Games	
B00000I1BY	Resident Evil: Director's Cut	'Video Games', 'PlayStation', 'Games'	Capcom	Video Games	
B00000I1C1	Twisted Metal 2	'Video Games', 'PlayStation', 'Games', 'New Battles', 'New Attacks', 'New Cars', 'Sony Playstation'	by        Sony	Video Games	
B00000I1BR	Crash Bandicoot 2: Cortex Strikes Back	'Video Games', 'PlayStation', 'Games'	by        Universal Interactive Studios	Video Games	
