item_id:token	item_name:token_seq	address:token_seq	city:token_seq	state:token	postal_code:token	latitude:float	longitude:float	item_stars:float	item_review_count:float	is_open:float	categories:token_seq
9Jo1pu0y2zU6ktiwQm6gNA	Coconut's Fish Cafe	1155 W Ocotillo Rd, Ste 1	Chandler	AZ	85248	33.2468467114	-111.8661919318	4.0	302	1	Hawaiian, Fish & Chips, Seafood, Restaurants, Food, Poke
swX3Vj3dQsz1YlCRmwNQEQ	Eddie V's Prime Seafood	15323 N Scottsdale Rd	Scottsdale	AZ	85254	33.6255468878	-111.9236499469	4.5	576	1	Bars, Jazz & Blues, Arts & Entertainment, Lounges, Restaurants, Seafood, Steakhouses, Nightlife
nkDSE-yhvLX4ij5fSzvb5Q	Tonic Bar & Grill	971 Liberty Ave	Pittsburgh	PA	15222	40.4438693	-79.995512	3.5	110	0	Restaurants, Cocktail Bars, Nightlife, Bars, American (Traditional)
cDoo0Pf1d_P79Rq3ZNk-Mw	Kirei Sushi + Bar	81 Church Street	Toronto	ON	M5C 2G2	43.6515981379	-79.3748980667	3.5	56	0	Japanese, Restaurants, Sushi Bars
NAigH4SqnuuQip8lekq7GQ	Port of Subs	1855 W Deer Valley Rd	Phoenix	AZ	85027	33.6831795	-112.0986365	3.5	55	1	Delis, Restaurants, Sandwiches
leDMYX5D-ziaYMgIWo73pQ	Dunkin'	1335 W. University Dr, Suite 11	Tempe	AZ	85281	33.4212545	-111.9603069	3.0	52	1	Donuts, Food, Restaurants, Coffee & Tea
nY2oBwH3s5sKox1mERIoVQ	Epicure Cafe & Grill	502 Queen Street W	Toronto	ON	M5V 2B3	43.6477412	-79.4012788	3.5	85	0	Wine Bars, Bars, Nightlife, Restaurants, American (New), Canadian (New), Italian
PjtX-5vSTBVyWfMREX8bRA	Capitano Burgers & Gelato	645 Yonge Street	Toronto	ON	M4Y 1Z9	43.6679169	-79.3856822	4.0	79	0	Burgers, Ice Cream & Frozen Yogurt, Food, Bakeries, Fast Food, Restaurants, Coffee & Tea
cNCXUYQd3kFR_AyfjTejQQ	Lot 17	4617 Liberty Ave	Pittsburgh	PA	15224	40.4625722	-79.9501679	4.0	129	1	American (Traditional), Restaurants, Bars, Nightlife, Tapas\/Small Plates, Beer Bar, Sandwiches
Xs2iTWxbczvfEapAFH3cyw	Perk Eatery	6501 E Greenway Pkwy, Ste 159	Scottsdale	AZ	85254	33.624134	-111.940499	4.0	485	1	Food, Restaurants, Specialty Food, Diners, Breakfast & Brunch
QeGkAHAKUT-TkyPUsl2PIg	Wag N' Wash Phoenix	4230 N 7th Ave	Phoenix	AZ	85013	33.4977704	-112.0838491	4.5	235	1	Pet Stores, Pet Groomers, Pets, Pet Services
RdK6dhy4lOb2taNp-WrHjQ	El Mesquite Cocina Mexicana	26 E Baseline Rd, Ste 120	Phoenix	AZ	85042	33.3788222336	-112.0716812295	4.0	72	1	Restaurants, Japanese, Chinese, Mexican, Thai, Breakfast & Brunch, Seafood, Diners
